input,,,lat,lon,Name
"[15/05, 10:34] David Haasnoot: 49.8584851, 6.0041779 #1","49.8584851, 6.0041779 #1","49.8584851, 6.0041779",49.858485,6.0041779,B: 1
"[15/05, 11:56] David Haasnoot: 49.8550159, 6.0067340 #2","49.8550159, 6.0067340 #2","49.8550159, 6.0067340",49.855015,6.0067340,B: 2
"[15/05, 12:19] David Haasnoot: 49.8543620, 6.0084831 #3","49.8543620, 6.0084831 #3","49.8543620, 6.0084831",49.854362,6.0084831,B: 3
"[15/05, 13:02] David Haasnoot: 49.8598272, 5.9962419 #4","49.8598272, 5.9962419 #4","49.8598272, 5.9962419",49.859827,5.9962419,B: 4
"[15/05, 13:09] David Haasnoot: 49.8621009, 5.9937236 #5","49.8621009, 5.9937236 #5","49.8621009, 5.9937236",49.862100,5.9937236,B: 5
"[15/05, 13:18] David Haasnoot: 49.8653589, 5.9899481 #6","49.8653589, 5.9899481 #6","49.8653589, 5.9899481",49.865358,5.9899481,B: 6
"[15/05, 13:30] David Haasnoot: 49.8689873, 5.9851137 #7","49.8689873, 5.9851137 #7","49.8689873, 5.9851137",49.868987,5.9851137,B: 7
"[15/05, 13:43] David Haasnoot: 49.8720973, 5.9838450 #8","49.8720973, 5.9838450 #8","49.8720973, 5.9838450",49.872097,5.9838450,B: 8
"[15/05, 14:08] David Haasnoot: 49.8722875, 5.9841746 #9","49.8722875, 5.9841746 #9","49.8722875, 5.9841746",49.872287,5.9841746,B: 9
"[15/05, 14:24] David Haasnoot: 49.8747631, 5.9790747 #10","49.8747631, 5.9790747 #10","49.8747631, 5.9790747",49.874763,5.9790747,B: 10
"[15/05, 14:29] David Haasnoot: 49.8765811, 5.9766892 #11","49.8765811, 5.9766892 #11","49.8765811, 5.9766892",49.876581,5.9766892,B: 11
"[15/05, 14:45] David Haasnoot: 49.8774499, 5.9733506 #12","49.8774499, 5.9733506 #12","49.8774499, 5.9733506",49.877449,5.9733506,B: 12
"[15/05, 14:54] David Haasnoot: 49.8788663, 5.9713919 #13","49.8788663, 5.9713919 #13","49.8788663, 5.9713919",49.878866,5.9713919,B: 13
"[15/05, 15:09] David Haasnoot: 49.8799935, 5.9689916 #14","49.8799935, 5.9689916 #14","49.8799935, 5.9689916",49.879993,5.9689916,B: 14
