TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 30ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
17-5-2023 12:01:39	9.06	0.00	
17-5-2023 12:01:41	9.04	0.00	
17-5-2023 12:01:43	9.04	0.00	
17-5-2023 12:01:45	9.02	0.00	
17-5-2023 12:01:47	9.02	0.00	
17-5-2023 12:01:49	9.02	0.00	
17-5-2023 12:01:51	9.00	0.00	
17-5-2023 12:01:53	9.00	0.00	
17-5-2023 12:01:55	9.00	0.00	
17-5-2023 12:01:57	9.00	0.00	
17-5-2023 12:01:59	9.00	0.00	
17-5-2023 12:02:01	9.00	0.00	
17-5-2023 12:02:03	9.00	0.00	
17-5-2023 12:02:05	9.00	0.00	
17-5-2023 12:02:07	9.00	0.00	
17-5-2023 12:02:09	9.00	0.00	
17-5-2023 12:02:11	9.00	0.00	
17-5-2023 12:02:13	9.00	0.00	
17-5-2023 12:02:15	9.00	0.00	
17-5-2023 12:02:17	9.00	0.00	
17-5-2023 12:02:19	9.00	0.00	
17-5-2023 12:02:21	9.00	0.00	
17-5-2023 12:02:23	9.00	0.00	
17-5-2023 12:02:25	9.00	0.00	
17-5-2023 12:02:27	9.00	0.00	
17-5-2023 12:02:29	9.00	0.00	
17-5-2023 12:02:31	9.00	0.00	
17-5-2023 12:02:33	9.00	0.00	
17-5-2023 12:02:35	9.00	1.79	
17-5-2023 12:02:37	9.00	17.20	
17-5-2023 12:02:39	9.00	38.05	
17-5-2023 12:02:41	9.00	55.99	
17-5-2023 12:02:43	9.00	68.78	
17-5-2023 12:02:45	9.00	77.54	
17-5-2023 12:02:47	9.00	83.24	
17-5-2023 12:02:49	9.00	86.84	
17-5-2023 12:02:51	9.00	84.24	
17-5-2023 12:02:53	9.00	70.51	
17-5-2023 12:02:55	9.00	51.02	
17-5-2023 12:02:57	9.00	34.13	
17-5-2023 12:02:59	9.00	21.88	
17-5-2023 12:03:01	9.00	13.85	
17-5-2023 12:03:03	9.00	8.74	
17-5-2023 12:03:05	9.00	5.59	
17-5-2023 12:03:07	9.00	3.61	
17-5-2023 12:03:09	9.00	2.11	
17-5-2023 12:03:11	9.00	1.40	
17-5-2023 12:03:13	9.00	0.85	
17-5-2023 12:03:15	9.00	0.26	
17-5-2023 12:03:17	9.00	0.00	
17-5-2023 12:03:19	9.00	0.00	
17-5-2023 12:03:21	9.00	0.00	
17-5-2023 12:03:23	9.00	0.00	
17-5-2023 12:03:25	9.00	0.00	
