TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values

Date & Time	Temp (C)	Rhodamine (ug/L)	
17-5-2023 11:55:22	10,82	0,00	
17-5-2023 11:55:24	10,72	0,00	
17-5-2023 11:55:26	10,62	0,00	
17-5-2023 11:55:28	10,54	0,00	
17-5-2023 11:55:30	10,46	0,00	
17-5-2023 11:55:32	10,40	0,00	
17-5-2023 11:55:34	10,30	0,00	
17-5-2023 11:55:36	10,18	0,00	
17-5-2023 11:55:38	10,10	0,00	
17-5-2023 11:55:40	10,04	0,00	
17-5-2023 11:55:42	9,98	0,00	
17-5-2023 11:55:44	9,94	0,00	
17-5-2023 11:55:46	9,90	0,00	
17-5-2023 11:55:48	9,86	0,00	
17-5-2023 11:55:50	9,82	0,00	
17-5-2023 11:55:52	9,78	0,00	
17-5-2023 11:55:54	9,74	0,00	
17-5-2023 11:55:56	9,70	0,00	
17-5-2023 11:55:58	9,68	0,00	
17-5-2023 11:56:00	9,64	0,00	
17-5-2023 11:56:02	9,60	0,00	
17-5-2023 11:56:04	9,60	0,00	
17-5-2023 11:56:06	9,58	0,00	
17-5-2023 11:56:08	9,54	0,00	
17-5-2023 11:56:10	9,50	1,34	
17-5-2023 11:56:12	9,50	6,31	
17-5-2023 11:56:14	9,50	12,42	
17-5-2023 11:56:16	9,46	18,43	
17-5-2023 11:56:18	9,42	24,56	
17-5-2023 11:56:20	9,40	29,76	
17-5-2023 11:56:22	9,40	34,33	
17-5-2023 11:56:24	9,40	38,86	
17-5-2023 11:56:26	9,40	40,70	
17-5-2023 11:56:28	9,40	40,16	
17-5-2023 11:56:30	9,36	38,47	
17-5-2023 11:56:32	9,30	36,57	
17-5-2023 11:56:34	9,26	33,85	
17-5-2023 11:56:36	9,24	31,95	
17-5-2023 11:56:38	9,20	29,74	
17-5-2023 11:56:40	9,20	27,31	
17-5-2023 11:56:42	9,20	25,05	
17-5-2023 11:56:44	9,20	23,57	
17-5-2023 11:56:46	9,20	21,74	
17-5-2023 11:56:48	9,20	20,15	
17-5-2023 11:56:50	9,18	19,11	
17-5-2023 11:56:52	9,16	17,90	
17-5-2023 11:56:54	9,12	16,75	
17-5-2023 11:56:56	9,10	15,90	
17-5-2023 11:56:58	9,10	15,11	
17-5-2023 11:57:00	9,10	14,08	
17-5-2023 11:57:02	9,10	13,22	
17-5-2023 11:57:04	9,10	12,44	
17-5-2023 11:57:06	9,10	11,79	
17-5-2023 11:57:08	9,10	11,10	
17-5-2023 11:57:10	9,10	10,84	
17-5-2023 11:57:12	9,10	10,13	
17-5-2023 11:57:14	9,10	9,90	
17-5-2023 11:57:16	9,10	9,14	
17-5-2023 11:57:18	9,10	8,73	
17-5-2023 11:57:20	9,10	7,93	
17-5-2023 11:57:22	9,10	7,26	
17-5-2023 11:57:24	9,10	6,50	
17-5-2023 11:57:26	9,10	5,64	
17-5-2023 11:57:28	9,10	5,46	
17-5-2023 11:57:30	9,10	4,82	
17-5-2023 11:57:32	9,10	4,87	
17-5-2023 11:57:34	9,10	4,59	
17-5-2023 11:57:36	9,10	4,81	
17-5-2023 11:57:38	9,10	4,57	
17-5-2023 11:57:40	9,10	4,12	
17-5-2023 11:57:42	9,10	4,19	
17-5-2023 11:57:44	9,08	3,88	
17-5-2023 11:57:46	9,08	3,54	
17-5-2023 11:57:48	9,04	2,79	
17-5-2023 11:57:50	9,02	2,21	
17-5-2023 11:57:52	9,00	1,61	
17-5-2023 11:57:54	9,00	1,15	
17-5-2023 11:57:56	9,00	0,79	
17-5-2023 11:57:58	9,02	0,40	
17-5-2023 11:58:00	9,02	0,29	
17-5-2023 11:58:02	9,00	0,32	
17-5-2023 11:58:04	9,00	0,82	
17-5-2023 11:58:06	9,00	0,93	
17-5-2023 11:58:08	9,00	0,73	
17-5-2023 11:58:10	9,00	0,64	
17-5-2023 11:58:12	9,00	0,90	
17-5-2023 11:58:14	9,00	0,85	
17-5-2023 11:58:16	9,00	0,76	
17-5-2023 11:58:18	9,00	0,58	
17-5-2023 11:58:20	9,00	0,24	
17-5-2023 11:58:22	9,00	0,00	
17-5-2023 11:58:24	9,00	0,00	
17-5-2023 11:58:26	9,00	0,00	
17-5-2023 11:58:28	9,00	0,00	
