TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 34ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
17-5-2023 10:57:51	9.96	0.00	
17-5-2023 10:57:53	9.92	0.00	
17-5-2023 10:57:55	9.90	0.00	
17-5-2023 10:57:57	9.88	0.00	
17-5-2023 10:57:59	9.84	0.00	
17-5-2023 10:58:01	9.80	0.00	
17-5-2023 10:58:03	9.80	0.00	
17-5-2023 10:58:05	9.78	0.00	
17-5-2023 10:58:07	9.74	0.00	
17-5-2023 10:58:09	9.70	0.00	
17-5-2023 10:58:11	9.70	0.00	
17-5-2023 10:58:13	9.70	0.00	
17-5-2023 10:58:15	9.70	0.00	
17-5-2023 10:58:17	9.68	0.00	
17-5-2023 10:58:19	9.64	0.00	
17-5-2023 10:58:21	9.60	0.00	
17-5-2023 10:58:23	9.60	0.00	
17-5-2023 10:58:25	9.60	0.00	
17-5-2023 10:58:27	9.60	0.00	
17-5-2023 10:58:29	9.60	0.00	
17-5-2023 10:58:31	9.60	0.00	
17-5-2023 10:58:33	9.60	0.00	
17-5-2023 10:58:35	9.56	0.00	
17-5-2023 10:58:37	9.52	0.00	
17-5-2023 10:58:39	9.50	0.00	
17-5-2023 10:58:41	9.50	0.00	
17-5-2023 10:58:43	9.50	0.00	
17-5-2023 10:58:45	9.50	0.00	
17-5-2023 10:58:47	9.50	0.00	
17-5-2023 10:58:49	9.50	0.00	
17-5-2023 10:58:51	9.50	0.00	
17-5-2023 10:58:53	9.50	0.00	
17-5-2023 10:58:55	9.50	0.00	
17-5-2023 10:58:57	9.50	0.00	
17-5-2023 10:58:59	9.50	0.00	
17-5-2023 10:59:01	9.50	0.00	
17-5-2023 10:59:03	9.50	0.00	
17-5-2023 10:59:05	9.48	9.81	
17-5-2023 10:59:07	9.48	28.06	
17-5-2023 10:59:09	9.46	50.26	
17-5-2023 10:59:11	9.44	72.64	
17-5-2023 10:59:13	9.42	93.32	
17-5-2023 10:59:15	9.42	110.70	
17-5-2023 10:59:17	9.42	124.40	
17-5-2023 10:59:19	9.42	132.80	
17-5-2023 10:59:21	9.42	131.90	
17-5-2023 10:59:23	9.40	121.00	
17-5-2023 10:59:25	9.36	105.10	
17-5-2023 10:59:27	9.36	88.25	
17-5-2023 10:59:29	9.34	72.21	
17-5-2023 10:59:31	9.32	58.69	
17-5-2023 10:59:33	9.32	47.82	
17-5-2023 10:59:35	9.32	39.42	
17-5-2023 10:59:37	9.30	32.44	
17-5-2023 10:59:39	9.30	26.82	
17-5-2023 10:59:41	9.30	22.11	
17-5-2023 10:59:43	9.30	18.02	
17-5-2023 10:59:45	9.30	14.64	
17-5-2023 10:59:47	9.30	12.06	
17-5-2023 10:59:49	9.30	10.35	
17-5-2023 10:59:51	9.30	8.65	
17-5-2023 10:59:53	9.30	7.50	
17-5-2023 10:59:55	9.30	6.47	
17-5-2023 10:59:57	9.30	5.38	
17-5-2023 10:59:59	9.30	4.84	
17-5-2023 11:00:01	9.30	4.41	
17-5-2023 11:00:03	9.30	3.66	
17-5-2023 11:00:05	9.30	2.61	
17-5-2023 11:00:07	9.30	1.99	
17-5-2023 11:00:09	9.30	1.19	
17-5-2023 11:00:11	9.30	0.68	
17-5-2023 11:00:13	9.30	0.00	
17-5-2023 11:00:15	9.30	0.00	
17-5-2023 11:00:17	9.30	0.00	
17-5-2023 11:00:19	9.30	0.00	
17-5-2023 11:00:21	9.30	0.00	
