TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 108ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 15:55:31	16.78	0.00	
15/05/2023 15:55:33	16.74	0.00	
15/05/2023 15:55:35	16.70	0.00	
15/05/2023 15:55:37	16.70	0.00	
15/05/2023 15:55:39	16.66	0.00	
15/05/2023 15:55:41	16.62	0.00	
15/05/2023 15:55:43	16.60	1.72	
15/05/2023 15:55:45	16.60	0.00	
15/05/2023 15:55:47	16.56	0.00	
15/05/2023 15:55:49	16.52	14.88	
15/05/2023 15:55:51	16.50	0.00	
15/05/2023 15:55:53	16.50	6.67	
15/05/2023 15:55:55	16.50	0.00	
15/05/2023 15:55:57	16.46	0.00	
15/05/2023 15:55:59	16.42	0.00	
15/05/2023 15:56:01	16.40	17.94	
15/05/2023 15:56:03	16.40	5.06	
15/05/2023 15:56:05	16.40	1.93	
15/05/2023 15:56:07	16.40	9.11	
15/05/2023 15:56:09	16.36	0.00	
15/05/2023 15:56:11	16.32	13.16	
15/05/2023 15:56:13	16.30	56.53	
15/05/2023 15:56:15	16.30	74.56	
15/05/2023 15:56:17	16.30	58.74	
15/05/2023 15:56:19	16.30	69.08	
15/05/2023 15:56:21	16.30	88.83	
15/05/2023 15:56:23	16.30	125.00	
15/05/2023 15:56:25	16.30	97.84	
15/05/2023 15:56:27	16.30	73.34	
15/05/2023 15:56:29	16.26	116.60	
15/05/2023 15:56:31	16.22	41.35	
15/05/2023 15:56:33	16.20	21.10	
15/05/2023 15:56:35	16.20	16.07	
15/05/2023 15:56:37	16.20	0.00	
15/05/2023 15:56:39	16.20	0.00	
15/05/2023 15:56:41	16.20	9.92	
15/05/2023 15:56:43	16.20	24.85	
15/05/2023 15:56:45	16.20	0.00	
15/05/2023 15:56:47	16.20	16.57	
15/05/2023 15:56:49	16.20	25.56	
15/05/2023 15:56:51	16.20	1.35	
15/05/2023 15:56:53	16.20	62.92	
15/05/2023 15:56:55	16.20	50.32	
15/05/2023 15:56:57	16.20	39.37	
15/05/2023 15:56:59	16.20	45.66	
15/05/2023 15:57:01	16.20	46.26	
15/05/2023 15:57:03	16.20	56.25	
15/05/2023 15:57:05	16.20	44.86	
15/05/2023 15:57:07	16.16	47.61	
15/05/2023 15:57:09	16.12	34.79	
15/05/2023 15:57:11	16.08	42.55	
15/05/2023 15:57:13	16.08	46.36	
15/05/2023 15:57:15	16.08	9.79	
15/05/2023 15:57:17	16.08	0.00	
15/05/2023 15:57:19	16.08	0.00	
15/05/2023 15:57:21	16.06	0.00	
15/05/2023 15:57:23	16.06	4.25	
15/05/2023 15:57:25	16.04	0.00	
15/05/2023 15:57:27	16.02	3.00	
15/05/2023 15:57:29	16.00	0.00	
15/05/2023 15:57:31	16.00	14.77	
15/05/2023 15:57:33	16.00	50.23	
15/05/2023 15:57:35	16.00	46.83	
15/05/2023 15:57:37	16.00	57.32	
15/05/2023 15:57:39	16.00	44.23	
15/05/2023 15:57:41	16.00	28.65	
15/05/2023 15:57:43	16.00	7.86	
15/05/2023 15:57:45	16.00	0.00	
15/05/2023 15:57:47	16.00	0.00	
15/05/2023 15:57:49	16.00	0.00	
15/05/2023 15:57:51	16.00	0.00	
15/05/2023 15:57:53	16.00	0.00	
15/05/2023 15:57:55	16.00	0.00	
15/05/2023 15:57:57	15.96	0.00	
15/05/2023 15:57:59	15.92	0.00	
15/05/2023 15:58:01	15.90	0.00	
15/05/2023 15:58:03	15.90	0.00	
15/05/2023 15:58:05	15.90	4.00	
15/05/2023 15:58:07	15.90	2.46	
15/05/2023 15:58:09	15.90	7.11	
15/05/2023 15:58:11	15.90	0.00	
