TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 49ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 15:32:15	12.12	2.59	
15/05/2023 15:32:17	12.10	1.67	
15/05/2023 15:32:19	12.10	0.47	
15/05/2023 15:32:21	12.10	0.00	
15/05/2023 15:32:23	12.10	0.00	
15/05/2023 15:32:25	12.10	0.00	
15/05/2023 15:32:27	12.10	0.00	
15/05/2023 15:32:29	12.10	0.00	
15/05/2023 15:32:31	12.10	0.00	
15/05/2023 15:32:33	12.10	0.00	
15/05/2023 15:32:35	12.10	0.00	
15/05/2023 15:32:37	12.10	0.00	
15/05/2023 15:32:39	12.10	0.00	
15/05/2023 15:32:41	12.10	0.00	
15/05/2023 15:32:43	12.08	0.00	
15/05/2023 15:32:45	12.08	0.00	
15/05/2023 15:32:47	12.08	0.00	
15/05/2023 15:32:49	12.08	0.00	
15/05/2023 15:32:51	12.04	0.00	
15/05/2023 15:32:53	12.02	0.00	
15/05/2023 15:32:55	12.00	0.00	
15/05/2023 15:32:57	12.00	0.00	
15/05/2023 15:32:59	12.00	0.00	
15/05/2023 15:33:01	12.00	0.00	
15/05/2023 15:33:03	12.00	0.00	
15/05/2023 15:33:05	12.00	0.00	
15/05/2023 15:33:07	12.00	0.25	
15/05/2023 15:33:09	12.00	0.00	
15/05/2023 15:33:11	12.00	0.00	
15/05/2023 15:33:13	12.00	0.00	
15/05/2023 15:33:15	12.00	0.00	
15/05/2023 15:33:17	12.00	0.00	
15/05/2023 15:33:19	12.00	0.00	
15/05/2023 15:33:21	12.00	0.00	
15/05/2023 15:33:23	12.00	0.00	
15/05/2023 15:33:25	12.00	0.00	
15/05/2023 15:33:27	12.00	0.00	
15/05/2023 15:33:29	12.00	0.00	
15/05/2023 15:33:31	12.00	0.00	
15/05/2023 15:33:33	12.00	0.00	
15/05/2023 15:33:35	12.00	0.00	
15/05/2023 15:33:37	12.00	0.00	
15/05/2023 15:33:39	12.00	0.00	
15/05/2023 15:33:41	12.00	0.00	
15/05/2023 15:33:43	12.00	0.00	
15/05/2023 15:33:45	12.00	0.00	
15/05/2023 15:33:47	12.00	0.00	
15/05/2023 15:33:49	12.00	0.00	
15/05/2023 15:33:51	12.00	0.00	
15/05/2023 15:33:53	12.00	0.00	
15/05/2023 15:33:55	12.00	0.00	
15/05/2023 15:33:57	12.00	0.14	
15/05/2023 15:33:59	12.00	0.00	
15/05/2023 15:34:01	12.00	0.83	
15/05/2023 15:34:03	12.00	1.54	
15/05/2023 15:34:05	12.00	1.46	
15/05/2023 15:34:07	12.00	1.91	
15/05/2023 15:34:09	12.00	2.31	
15/05/2023 15:34:11	12.00	2.43	
15/05/2023 15:34:13	12.00	3.06	
15/05/2023 15:34:15	12.00	3.33	
15/05/2023 15:34:17	12.00	3.23	
15/05/2023 15:34:19	12.00	2.92	
15/05/2023 15:34:21	12.00	3.26	
15/05/2023 15:34:23	12.00	3.49	
15/05/2023 15:34:25	12.00	3.35	
15/05/2023 15:34:27	12.00	2.80	
15/05/2023 15:34:29	12.00	2.33	
15/05/2023 15:34:31	12.00	2.21	
15/05/2023 15:34:33	12.00	2.41	
15/05/2023 15:34:35	12.00	2.22	
15/05/2023 15:34:37	12.00	2.34	
15/05/2023 15:34:39	12.00	2.29	
15/05/2023 15:34:41	12.00	2.52	
15/05/2023 15:34:43	12.00	2.69	
15/05/2023 15:34:46	12.00	2.59	
15/05/2023 15:34:48	12.00	2.14	
15/05/2023 15:34:50	12.00	1.82	
15/05/2023 15:34:52	12.00	2.06	
15/05/2023 15:34:54	12.00	1.80	
15/05/2023 15:34:56	12.00	2.03	
15/05/2023 15:34:58	12.00	1.70	
15/05/2023 15:35:00	12.00	1.95	
15/05/2023 15:35:02	12.00	1.79	
15/05/2023 15:35:04	12.00	2.30	
15/05/2023 15:35:06	12.00	2.17	
15/05/2023 15:35:08	12.00	1.68	
15/05/2023 15:35:10	12.00	1.46	
15/05/2023 15:35:12	12.00	0.77	
15/05/2023 15:35:14	12.00	0.72	
15/05/2023 15:35:16	12.00	0.69	
15/05/2023 15:35:18	12.00	0.37	
15/05/2023 15:35:20	12.00	0.00	
15/05/2023 15:35:22	12.00	0.00	
15/05/2023 15:35:24	12.00	0.00	
15/05/2023 15:35:26	12.00	0.00	
15/05/2023 15:35:28	12.00	3.26	
