TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 1ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 11:25:47	17.90	16.86	
15/05/2023 11:25:49	17.90	16.23	
15/05/2023 11:25:51	17.88	15.83	
15/05/2023 11:25:53	17.84	14.96	
15/05/2023 11:25:55	17.80	14.75	
15/05/2023 11:25:57	17.80	32.99	
15/05/2023 11:25:59	17.80	32.24	
15/05/2023 11:26:01	17.78	30.99	
15/05/2023 11:26:03	17.74	34.59	
15/05/2023 11:26:05	17.70	35.77	
15/05/2023 11:26:07	17.70	53.70	
15/05/2023 11:26:09	17.70	53.32	
15/05/2023 11:26:11	17.70	64.40	
15/05/2023 11:26:13	17.70	51.58	
15/05/2023 11:26:15	17.66	49.21	
15/05/2023 11:26:17	17.62	46.99	
15/05/2023 11:26:19	17.60	39.39	
15/05/2023 11:26:21	17.60	38.85	
15/05/2023 11:26:23	17.60	25.39	
15/05/2023 11:26:25	17.60	25.94	
15/05/2023 11:26:27	17.58	17.44	
15/05/2023 11:26:29	17.56	14.13	
15/05/2023 11:26:31	17.52	17.41	
15/05/2023 11:26:33	17.46	16.09	
15/05/2023 11:26:35	17.44	14.98	
15/05/2023 11:26:37	17.42	20.50	
15/05/2023 11:26:39	17.40	32.45	
15/05/2023 11:26:41	17.38	63.16	
15/05/2023 11:26:43	17.36	89.96	
15/05/2023 11:26:45	17.32	86.12	
15/05/2023 11:26:47	17.30	82.34	
15/05/2023 11:26:49	17.30	82.39	
15/05/2023 11:26:51	17.30	89.16	
15/05/2023 11:26:53	17.28	97.90	
15/05/2023 11:26:55	17.24	83.90	
15/05/2023 11:26:57	17.20	89.31	
15/05/2023 11:26:59	17.20	60.03	
15/05/2023 11:27:01	17.20	65.93	
15/05/2023 11:27:03	17.20	63.51	
15/05/2023 11:27:05	17.18	64.68	
15/05/2023 11:27:07	17.14	58.83	
15/05/2023 11:27:09	17.10	43.87	
15/05/2023 11:27:11	17.10	41.90	
15/05/2023 11:27:13	17.10	6.50	
15/05/2023 11:27:15	17.06	5.55	
15/05/2023 11:27:17	17.02	3.21	
15/05/2023 11:27:19	17.00	5.82	
15/05/2023 11:27:21	17.00	11.18	
15/05/2023 11:27:23	17.00	11.82	
15/05/2023 11:27:25	17.00	11.73	
15/05/2023 11:27:27	17.00	14.33	
15/05/2023 11:27:29	16.98	13.88	
15/05/2023 11:27:31	16.94	14.38	
15/05/2023 11:27:33	16.90	13.00	
15/05/2023 11:27:35	16.90	12.16	
15/05/2023 11:27:37	16.90	9.31	
15/05/2023 11:27:39	16.90	14.91	
15/05/2023 11:27:41	16.88	17.93	
15/05/2023 11:27:43	16.84	14.87	
15/05/2023 11:27:45	16.80	14.80	
15/05/2023 11:27:47	16.80	14.29	
15/05/2023 11:27:49	16.80	14.16	
15/05/2023 11:27:51	16.80	14.68	
15/05/2023 11:27:53	16.80	10.82	
15/05/2023 11:27:55	16.80	3.33	
15/05/2023 11:27:57	16.80	0.19	
15/05/2023 11:27:59	16.78	0.56	
15/05/2023 11:28:01	16.74	0.52	
15/05/2023 11:28:03	16.72	0.90	
15/05/2023 11:28:05	16.70	0.75	
15/05/2023 11:28:07	16.70	0.52	
15/05/2023 11:28:09	16.70	0.67	
15/05/2023 11:28:11	16.70	0.78	
15/05/2023 11:28:13	16.70	0.76	
15/05/2023 11:28:15	16.66	0.78	
15/05/2023 11:28:17	16.64	0.87	
15/05/2023 11:28:19	16.62	0.67	
15/05/2023 11:28:21	16.60	0.91	
15/05/2023 11:28:23	16.60	4.98	
15/05/2023 11:28:25	16.60	12.34	
15/05/2023 11:28:27	16.60	16.62	
15/05/2023 11:28:29	16.60	21.97	
15/05/2023 11:28:31	16.58	21.93	
15/05/2023 11:28:33	16.54	22.15	
15/05/2023 11:28:35	16.52	22.22	
15/05/2023 11:28:37	16.50	22.18	
15/05/2023 11:28:39	16.50	18.35	
15/05/2023 11:28:41	16.50	11.43	
15/05/2023 11:28:43	16.50	7.68	
15/05/2023 11:28:45	16.48	0.55	
15/05/2023 11:28:47	16.44	18.64	
15/05/2023 11:28:49	16.40	26.62	
15/05/2023 11:28:51	16.40	34.00	
15/05/2023 11:28:53	16.40	34.19	
15/05/2023 11:28:55	16.40	43.79	
15/05/2023 11:28:57	16.40	83.67	
15/05/2023 11:28:59	16.40	93.13	
15/05/2023 11:29:01	16.40	101.50	
15/05/2023 11:29:03	16.40	83.45	
15/05/2023 11:29:05	16.38	75.52	
15/05/2023 11:29:07	16.34	67.91	
15/05/2023 11:29:09	16.30	67.85	
15/05/2023 11:29:11	16.30	58.22	
15/05/2023 11:29:13	16.30	17.90	
15/05/2023 11:29:15	16.30	7.84	
15/05/2023 11:29:17	16.30	2.39	
15/05/2023 11:29:19	16.30	2.48	
15/05/2023 11:29:21	16.30	0.00	
15/05/2023 11:29:23	16.30	16.84	
15/05/2023 11:29:25	16.30	17.22	
15/05/2023 11:29:27	16.26	17.44	
15/05/2023 11:29:29	16.22	20.10	
15/05/2023 11:29:31	16.24	28.69	
15/05/2023 11:29:33	16.28	27.62	
15/05/2023 11:29:35	16.30	27.90	
15/05/2023 11:29:37	16.30	29.90	
15/05/2023 11:29:39	16.30	12.70	
15/05/2023 11:29:41	16.30	11.79	
15/05/2023 11:29:43	16.30	11.44	
15/05/2023 11:29:45	16.30	9.09	
