TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 1ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 11:34:53	14.92	5.59	
15/05/2023 11:34:55	14.90	5.42	
15/05/2023 11:34:57	14.90	5.70	
15/05/2023 11:34:59	14.90	6.04	
15/05/2023 11:35:01	14.90	5.60	
15/05/2023 11:35:03	14.90	5.03	
15/05/2023 11:35:05	14.90	5.37	
15/05/2023 11:35:07	14.90	5.47	
15/05/2023 11:35:09	14.90	5.91	
15/05/2023 11:35:11	14.90	6.30	
15/05/2023 11:35:13	14.90	5.77	
15/05/2023 11:35:15	14.90	5.65	
15/05/2023 11:35:17	14.90	5.54	
15/05/2023 11:35:19	14.90	5.60	
15/05/2023 11:35:21	14.88	5.02	
15/05/2023 11:35:23	14.84	5.07	
15/05/2023 11:35:25	14.80	4.86	
15/05/2023 11:35:27	14.80	5.01	
15/05/2023 11:35:29	14.80	5.76	
15/05/2023 11:35:31	14.80	5.72	
15/05/2023 11:35:33	14.80	6.31	
15/05/2023 11:35:35	14.80	6.53	
15/05/2023 11:35:37	14.80	6.59	
15/05/2023 11:35:39	14.80	6.25	
15/05/2023 11:35:41	14.80	6.20	
15/05/2023 11:35:43	14.80	5.97	
15/05/2023 11:35:45	14.80	5.38	
15/05/2023 11:35:47	14.76	5.32	
15/05/2023 11:35:49	14.74	4.91	
15/05/2023 11:35:51	14.72	4.55	
15/05/2023 11:35:53	14.70	4.92	
15/05/2023 11:35:55	14.70	5.58	
15/05/2023 11:35:57	14.70	5.99	
15/05/2023 11:35:59	14.70	5.61	
15/05/2023 11:36:01	14.70	5.90	
15/05/2023 11:36:03	14.70	6.07	
15/05/2023 11:36:05	14.70	5.86	
15/05/2023 11:36:07	14.70	6.16	
15/05/2023 11:36:09	14.70	6.22	
15/05/2023 11:36:11	14.70	5.59	
15/05/2023 11:36:13	14.70	5.39	
15/05/2023 11:36:15	14.70	5.38	
15/05/2023 11:36:17	14.66	5.49	
15/05/2023 11:36:19	14.62	5.58	
15/05/2023 11:36:21	14.60	6.06	
15/05/2023 11:36:23	14.60	6.19	
15/05/2023 11:36:25	14.60	5.83	
15/05/2023 11:36:27	14.60	5.64	
15/05/2023 11:36:29	14.60	5.27	
15/05/2023 11:36:31	14.60	5.51	
15/05/2023 11:36:33	14.60	5.35	
15/05/2023 11:36:35	14.60	5.26	
15/05/2023 11:36:37	14.60	5.04	
15/05/2023 11:36:39	14.60	5.09	
15/05/2023 11:36:41	14.60	5.70	
15/05/2023 11:36:43	14.60	6.39	
15/05/2023 11:36:45	14.56	7.00	
15/05/2023 11:36:47	14.52	7.09	
15/05/2023 11:36:49	14.50	7.45	
15/05/2023 11:36:51	14.50	7.53	
15/05/2023 11:36:53	14.50	7.29	
15/05/2023 11:36:55	14.50	7.35	
15/05/2023 11:36:57	14.50	7.30	
15/05/2023 11:36:59	14.50	7.05	
15/05/2023 11:37:01	14.50	6.48	
15/05/2023 11:37:03	14.50	5.99	
15/05/2023 11:37:05	14.50	5.26	
15/05/2023 11:37:07	14.50	5.42	
15/05/2023 11:37:09	14.50	5.51	
15/05/2023 11:37:11	14.50	5.28	
15/05/2023 11:37:13	14.50	4.73	
15/05/2023 11:37:15	14.50	4.14	
15/05/2023 11:37:17	14.50	4.43	
15/05/2023 11:37:19	14.50	4.84	
15/05/2023 11:37:21	14.48	5.12	
15/05/2023 11:37:23	14.44	5.12	
15/05/2023 11:37:25	14.40	5.24	
15/05/2023 11:37:27	14.40	5.22	
15/05/2023 11:37:29	14.40	5.18	
15/05/2023 11:37:31	14.40	5.45	
15/05/2023 11:37:33	14.40	5.42	
15/05/2023 11:37:35	14.40	5.35	
15/05/2023 11:37:37	14.40	5.76	
15/05/2023 11:37:39	14.40	5.85	
15/05/2023 11:37:41	14.40	5.59	
15/05/2023 11:37:43	14.40	5.51	
15/05/2023 11:37:45	14.40	5.94	
15/05/2023 11:37:47	14.40	6.15	
15/05/2023 11:37:49	14.40	6.46	
15/05/2023 11:37:51	14.40	6.12	
15/05/2023 11:37:53	14.40	5.83	
15/05/2023 11:37:55	14.40	5.40	
15/05/2023 11:37:57	14.40	5.30	
15/05/2023 11:37:59	14.40	5.50	
15/05/2023 11:38:01	14.40	5.55	
15/05/2023 11:38:03	14.40	5.59	
