TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 1ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 11:25:56	17.40	32.16	
15/05/2023 11:25:58	17.40	30.50	
15/05/2023 11:26:00	17.40	33.58	
15/05/2023 11:26:02	17.40	50.99	
15/05/2023 11:26:04	17.40	50.90	
15/05/2023 11:26:06	17.38	59.95	
15/05/2023 11:26:08	17.34	61.89	
15/05/2023 11:26:10	17.30	61.03	
15/05/2023 11:26:12	17.30	61.77	
15/05/2023 11:26:14	17.30	59.61	
15/05/2023 11:26:16	17.30	60.75	
15/05/2023 11:26:18	17.30	56.35	
15/05/2023 11:26:20	17.30	42.21	
15/05/2023 11:26:22	17.30	38.49	
15/05/2023 11:26:24	17.30	30.29	
15/05/2023 11:26:26	17.30	33.54	
15/05/2023 11:26:28	17.30	29.80	
15/05/2023 11:26:30	17.30	26.90	
15/05/2023 11:26:32	17.30	23.45	
15/05/2023 11:26:34	17.30	24.09	
15/05/2023 11:26:36	17.28	29.22	
15/05/2023 11:26:38	17.24	26.94	
15/05/2023 11:26:40	17.22	20.82	
15/05/2023 11:26:42	17.20	20.44	
15/05/2023 11:26:44	17.20	23.58	
15/05/2023 11:26:46	17.20	24.17	
15/05/2023 11:26:48	17.20	20.53	
15/05/2023 11:26:50	17.20	18.19	
15/05/2023 11:26:52	17.20	13.13	
15/05/2023 11:26:54	17.18	17.47	
15/05/2023 11:26:56	17.14	26.75	
15/05/2023 11:26:58	17.10	28.89	
15/05/2023 11:27:00	17.10	32.34	
15/05/2023 11:27:02	17.10	34.40	
15/05/2023 11:27:04	17.10	36.95	
15/05/2023 11:27:06	17.10	35.64	
15/05/2023 11:27:08	17.08	41.65	
15/05/2023 11:27:10	17.04	44.80	
15/05/2023 11:27:12	17.00	41.27	
15/05/2023 11:27:14	17.00	38.72	
15/05/2023 11:27:16	17.00	31.00	
15/05/2023 11:27:18	17.00	34.06	
15/05/2023 11:27:20	17.00	36.93	
15/05/2023 11:27:22	16.96	34.31	
15/05/2023 11:27:24	16.92	27.51	
15/05/2023 11:27:26	16.90	32.23	
15/05/2023 11:27:28	16.90	49.33	
15/05/2023 11:27:30	16.90	70.00	
15/05/2023 11:27:32	16.90	70.26	
15/05/2023 11:27:34	16.90	63.95	
15/05/2023 11:27:36	16.88	64.00	
15/05/2023 11:27:38	16.84	72.68	
15/05/2023 11:27:40	16.80	71.95	
15/05/2023 11:27:42	16.80	61.84	
15/05/2023 11:27:44	16.80	42.48	
15/05/2023 11:27:46	16.80	22.44	
15/05/2023 11:27:48	16.80	22.67	
15/05/2023 11:27:50	16.80	22.94	
15/05/2023 11:27:52	16.80	17.23	
15/05/2023 11:27:54	16.80	11.27	
15/05/2023 11:27:56	16.78	12.10	
15/05/2023 11:27:58	16.76	11.79	
15/05/2023 11:28:00	16.72	11.81	
15/05/2023 11:28:02	16.70	11.89	
15/05/2023 11:28:04	16.70	11.86	
15/05/2023 11:28:06	16.70	12.08	
15/05/2023 11:28:08	16.70	11.88	
15/05/2023 11:28:10	16.70	11.99	
15/05/2023 11:28:12	16.70	11.69	
15/05/2023 11:28:14	16.70	12.55	
15/05/2023 11:28:16	16.70	14.45	
15/05/2023 11:28:18	16.70	15.74	
15/05/2023 11:28:20	16.66	16.38	
15/05/2023 11:28:22	16.62	22.83	
15/05/2023 11:28:24	16.60	26.78	
15/05/2023 11:28:26	16.60	43.77	
15/05/2023 11:28:28	16.60	46.00	
15/05/2023 11:28:30	16.60	41.09	
15/05/2023 11:28:32	16.60	42.61	
15/05/2023 11:28:34	16.60	44.88	
15/05/2023 11:28:36	16.60	45.41	
15/05/2023 11:28:38	16.60	42.69	
15/05/2023 11:28:40	16.56	39.04	
15/05/2023 11:28:42	16.52	21.99	
15/05/2023 11:28:44	16.50	26.35	
15/05/2023 11:28:46	16.50	37.03	
