TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 100ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 15:39:14	12.80	0.00	
15/05/2023 15:39:16	12.80	0.00	
15/05/2023 15:39:18	12.80	0.00	
15/05/2023 15:39:20	12.76	0.00	
15/05/2023 15:39:22	12.72	0.00	
15/05/2023 15:39:24	12.70	0.00	
15/05/2023 15:39:26	12.70	0.00	
15/05/2023 15:39:28	12.70	0.00	
15/05/2023 15:39:30	12.70	0.00	
15/05/2023 15:39:32	12.70	0.00	
15/05/2023 15:39:34	12.70	0.00	
15/05/2023 15:39:36	12.70	0.00	
15/05/2023 15:39:38	12.70	0.00	
15/05/2023 15:39:40	12.68	0.00	
15/05/2023 15:39:42	12.66	0.00	
15/05/2023 15:39:44	12.62	0.00	
15/05/2023 15:39:46	12.60	0.00	
15/05/2023 15:39:48	12.60	0.00	
15/05/2023 15:39:50	12.60	0.00	
15/05/2023 15:39:52	12.60	0.00	
15/05/2023 15:39:54	12.60	0.00	
15/05/2023 15:39:56	12.60	0.00	
15/05/2023 15:39:58	12.60	0.00	
15/05/2023 15:40:00	12.60	0.00	
15/05/2023 15:40:02	12.60	0.00	
15/05/2023 15:40:04	12.60	0.00	
15/05/2023 15:40:06	12.60	1.26	
15/05/2023 15:40:08	12.60	4.95	
15/05/2023 15:40:10	12.60	9.62	
15/05/2023 15:40:12	12.60	13.94	
15/05/2023 15:40:14	12.58	17.66	
15/05/2023 15:40:16	12.58	20.79	
15/05/2023 15:40:18	12.54	23.24	
15/05/2023 15:40:20	12.52	24.72	
15/05/2023 15:40:22	12.50	24.69	
15/05/2023 15:40:24	12.50	23.05	
15/05/2023 15:40:26	12.50	20.13	
15/05/2023 15:40:28	12.50	17.32	
15/05/2023 15:40:30	12.50	14.77	
15/05/2023 15:40:32	12.50	12.38	
15/05/2023 15:40:34	12.50	10.10	
15/05/2023 15:40:36	12.50	7.60	
15/05/2023 15:40:38	12.50	5.74	
15/05/2023 15:40:40	12.50	4.50	
15/05/2023 15:40:42	12.50	3.48	
15/05/2023 15:40:44	12.50	2.51	
15/05/2023 15:40:46	12.50	1.45	
15/05/2023 15:40:48	12.50	0.00	
15/05/2023 15:40:50	12.50	0.00	
15/05/2023 15:40:52	12.50	0.00	
15/05/2023 15:40:54	12.50	0.00	
15/05/2023 15:40:56	12.50	0.00	
15/05/2023 15:40:58	12.50	0.00	
15/05/2023 15:41:00	12.50	0.00	
15/05/2023 15:41:02	12.50	0.00	
15/05/2023 15:41:04	12.50	0.00	
15/05/2023 15:41:06	12.50	0.00	
15/05/2023 15:41:08	12.50	0.00	
15/05/2023 15:41:10	12.50	0.00	
15/05/2023 15:41:12	12.50	0.00	
15/05/2023 15:41:14	12.50	0.00	
15/05/2023 15:41:16	12.50	0.00	
15/05/2023 15:41:18	12.50	0.00	
15/05/2023 15:41:20	12.50	0.00	
15/05/2023 15:41:22	12.50	0.00	
15/05/2023 15:41:24	12.50	0.00	
