TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 1ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 11:18:31	15.80	113.30	
15/05/2023 11:18:33	15.80	87.94	
15/05/2023 11:18:35	15.80	62.54	
15/05/2023 11:18:37	15.80	34.24	
15/05/2023 11:18:39	15.82	12.49	
15/05/2023 11:18:41	15.86	0.00	
15/05/2023 11:18:43	15.90	0.00	
15/05/2023 11:18:45	15.90	0.00	
15/05/2023 11:18:47	15.90	0.00	
15/05/2023 11:18:49	15.90	0.00	
15/05/2023 11:18:51	15.90	0.00	
15/05/2023 11:18:53	15.90	0.00	
15/05/2023 11:18:55	15.90	0.00	
15/05/2023 11:18:57	15.90	0.00	
15/05/2023 11:18:59	15.90	0.00	
15/05/2023 11:19:01	15.90	0.00	
15/05/2023 11:19:03	15.90	0.00	
15/05/2023 11:19:05	15.90	0.00	
15/05/2023 11:19:07	15.88	0.00	
15/05/2023 11:19:09	15.84	0.00	
15/05/2023 11:19:11	15.76	0.00	
15/05/2023 11:19:14	15.72	0.00	
15/05/2023 11:19:15	15.68	0.00	
15/05/2023 11:19:17	15.64	0.00	
15/05/2023 11:19:20	15.56	0.00	
15/05/2023 11:19:22	15.52	0.00	
15/05/2023 11:19:24	15.48	0.87	
15/05/2023 11:19:26	15.44	1.20	
15/05/2023 11:19:28	15.40	2.44	
15/05/2023 11:19:30	15.40	2.96	
15/05/2023 11:19:32	15.40	4.96	
15/05/2023 11:19:34	15.44	0.99	
15/05/2023 11:19:36	15.48	3.10	
15/05/2023 11:19:38	15.50	2.62	
15/05/2023 11:19:40	15.50	0.00	
15/05/2023 11:19:42	15.50	0.00	
15/05/2023 11:19:44	15.50	0.00	
15/05/2023 11:19:46	15.50	0.00	
15/05/2023 11:19:48	15.52	0.00	
15/05/2023 11:19:50	15.56	0.00	
15/05/2023 11:19:52	15.60	0.00	
15/05/2023 11:19:54	15.60	0.00	
15/05/2023 11:19:56	15.60	0.00	
15/05/2023 11:19:58	15.60	0.00	
15/05/2023 11:20:00	15.60	0.00	
15/05/2023 11:20:02	15.62	0.00	
15/05/2023 11:20:04	15.66	0.00	
15/05/2023 11:20:06	15.70	0.00	
15/05/2023 11:20:08	15.70	0.00	
15/05/2023 11:20:10	15.70	0.00	
15/05/2023 11:20:12	15.72	0.00	
15/05/2023 11:20:14	15.76	0.00	
15/05/2023 11:20:16	15.80	0.00	
15/05/2023 11:20:18	15.80	0.00	
15/05/2023 11:20:20	15.80	0.00	
15/05/2023 11:20:22	15.82	0.00	
15/05/2023 11:20:24	15.86	0.00	
15/05/2023 11:20:26	15.90	0.00	
15/05/2023 11:20:28	15.90	0.00	
15/05/2023 11:20:30	15.90	0.00	
15/05/2023 11:20:32	15.90	0.00	
15/05/2023 11:20:34	15.88	0.00	
15/05/2023 11:20:36	15.84	0.00	
15/05/2023 11:20:38	15.80	0.00	
15/05/2023 11:20:40	15.80	0.00	
15/05/2023 11:20:42	15.80	0.00	
15/05/2023 11:20:44	15.76	0.00	
15/05/2023 11:20:46	15.72	0.00	
15/05/2023 11:20:48	15.70	0.00	
15/05/2023 11:20:50	15.70	0.00	
15/05/2023 11:20:52	15.70	0.00	
15/05/2023 11:20:54	15.70	0.00	
15/05/2023 11:20:56	15.70	0.00	
15/05/2023 11:20:58	15.66	0.00	
15/05/2023 11:21:00	15.62	0.00	
15/05/2023 11:21:02	15.60	0.00	
15/05/2023 11:21:04	15.60	0.00	
15/05/2023 11:21:06	15.60	0.00	
15/05/2023 11:21:08	15.60	0.00	
15/05/2023 11:21:10	15.60	0.00	
15/05/2023 11:21:12	15.60	0.00	
15/05/2023 11:21:14	15.60	0.00	
15/05/2023 11:21:16	15.60	0.00	
15/05/2023 11:21:18	15.60	0.00	
15/05/2023 11:21:20	15.60	0.00	
15/05/2023 11:21:22	15.62	0.00	
15/05/2023 11:21:24	15.64	0.00	
15/05/2023 11:21:26	15.66	0.00	
15/05/2023 11:21:28	15.64	0.00	
15/05/2023 11:21:30	15.62	0.00	
15/05/2023 11:21:32	15.60	0.00	
15/05/2023 11:21:34	15.60	0.00	
15/05/2023 11:21:36	15.60	0.00	
15/05/2023 11:21:38	15.62	0.00	
15/05/2023 11:21:40	15.64	0.00	
15/05/2023 11:21:42	15.68	0.00	
15/05/2023 11:21:44	15.68	0.00	
15/05/2023 11:21:46	15.70	0.00	
15/05/2023 11:21:48	15.70	0.00	
15/05/2023 11:21:50	15.70	9.47	
15/05/2023 11:21:52	15.70	104.80	
15/05/2023 11:21:54	15.70	199.80	
15/05/2023 11:21:56	15.70	295.10	
15/05/2023 11:21:58	15.70	390.50	
15/05/2023 11:22:00	15.70	485.80	
15/05/2023 11:22:02	15.70	531.20	
15/05/2023 11:22:04	15.70	534.50	
15/05/2023 11:22:06	15.70	536.20	
15/05/2023 11:22:08	15.74	442.90	
15/05/2023 11:22:10	15.78	346.70	
15/05/2023 11:22:12	15.84	252.50	
15/05/2023 11:22:14	15.88	160.00	
15/05/2023 11:22:16	15.94	67.40	
