TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 192ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
16/05/2023 10:07:15	12.20	0.00	
16/05/2023 10:07:17	12.20	0.00	
16/05/2023 10:07:19	12.18	0.00	
16/05/2023 10:07:21	12.14	0.00	
16/05/2023 10:07:23	12.12	0.00	
16/05/2023 10:07:25	12.10	0.00	
16/05/2023 10:07:27	12.10	0.00	
16/05/2023 10:07:29	12.10	0.00	
16/05/2023 10:07:31	12.10	0.00	
16/05/2023 10:07:33	12.10	0.00	
16/05/2023 10:07:35	12.10	0.00	
16/05/2023 10:07:37	12.10	0.00	
16/05/2023 10:07:39	12.10	0.00	
16/05/2023 10:07:41	12.10	0.00	
16/05/2023 10:07:43	12.10	0.00	
16/05/2023 10:07:45	12.10	0.00	
16/05/2023 10:07:47	12.10	0.00	
16/05/2023 10:07:49	12.08	0.00	
16/05/2023 10:07:51	12.04	0.00	
16/05/2023 10:07:53	12.00	0.00	
16/05/2023 10:07:55	12.00	0.00	
16/05/2023 10:07:57	12.00	0.00	
16/05/2023 10:07:59	12.00	0.00	
16/05/2023 10:08:01	12.00	0.00	
16/05/2023 10:08:03	12.00	0.00	
16/05/2023 10:08:05	12.00	0.00	
16/05/2023 10:08:07	12.00	0.00	
16/05/2023 10:08:09	12.00	0.00	
16/05/2023 10:08:11	12.00	0.00	
16/05/2023 10:08:13	12.00	0.00	
16/05/2023 10:08:15	12.00	0.00	
16/05/2023 10:08:17	12.00	0.00	
16/05/2023 10:08:19	12.00	0.00	
16/05/2023 10:08:21	12.00	0.00	
16/05/2023 10:08:23	12.00	0.00	
16/05/2023 10:08:25	12.00	0.00	
16/05/2023 10:08:27	12.00	0.00	
16/05/2023 10:08:29	12.00	0.00	
16/05/2023 10:08:31	12.00	0.00	
16/05/2023 10:08:33	12.00	0.00	
16/05/2023 10:08:35	12.00	0.00	
16/05/2023 10:08:37	12.00	13.65	
16/05/2023 10:08:39	12.00	17.02	
16/05/2023 10:08:41	12.00	60.58	
16/05/2023 10:08:43	12.00	66.66	
16/05/2023 10:08:45	12.00	50.05	
16/05/2023 10:08:47	12.00	34.25	
16/05/2023 10:08:49	12.04	3.08	
16/05/2023 10:08:51	12.08	0.00	
16/05/2023 10:08:53	12.10	0.00	
16/05/2023 10:08:55	12.12	0.00	
16/05/2023 10:08:57	12.16	0.00	
16/05/2023 10:08:59	12.20	0.00	
16/05/2023 10:09:01	12.20	0.00	
16/05/2023 10:09:03	12.22	0.00	
16/05/2023 10:09:05	12.26	0.00	
