TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 110ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
16/05/2023 11:23:28	11.38	0.00	
16/05/2023 11:23:30	11.30	0.00	
16/05/2023 11:23:32	11.22	0.00	
16/05/2023 11:23:34	11.14	0.00	
16/05/2023 11:23:36	11.08	0.00	
16/05/2023 11:23:38	11.04	0.00	
16/05/2023 11:23:40	10.98	0.00	
16/05/2023 11:23:42	10.94	0.00	
16/05/2023 11:23:44	10.88	0.00	
16/05/2023 11:23:46	10.84	0.00	
16/05/2023 11:23:48	10.80	0.00	
16/05/2023 11:23:50	10.78	0.00	
16/05/2023 11:23:52	10.74	0.00	
16/05/2023 11:23:54	10.66	0.00	
16/05/2023 11:23:56	10.62	0.00	
16/05/2023 11:23:58	10.58	0.00	
16/05/2023 11:24:00	10.54	0.00	
16/05/2023 11:24:02	10.50	14.26	
16/05/2023 11:24:04	10.50	38.16	
16/05/2023 11:24:06	10.48	58.02	
16/05/2023 11:24:08	10.44	75.75	
16/05/2023 11:24:10	10.40	85.07	
16/05/2023 11:24:12	10.40	92.60	
16/05/2023 11:24:14	10.40	97.89	
16/05/2023 11:24:16	10.40	92.51	
16/05/2023 11:24:18	10.40	75.92	
16/05/2023 11:24:20	10.38	54.62	
16/05/2023 11:24:22	10.34	36.65	
16/05/2023 11:24:24	10.30	22.52	
16/05/2023 11:24:26	10.30	12.91	
16/05/2023 11:24:28	10.30	6.85	
16/05/2023 11:24:30	10.30	2.14	
16/05/2023 11:24:32	10.30	0.00	
16/05/2023 11:24:34	10.30	0.00	
16/05/2023 11:24:36	10.28	0.00	
16/05/2023 11:24:38	10.24	0.00	
16/05/2023 11:24:40	10.20	0.00	
16/05/2023 11:24:42	10.20	0.00	
16/05/2023 11:24:44	10.20	0.00	
16/05/2023 11:24:46	10.20	0.00	
16/05/2023 11:24:48	10.20	0.00	
16/05/2023 11:24:50	10.20	0.00	
16/05/2023 11:24:52	10.20	0.00	
16/05/2023 11:24:54	10.20	0.00	
16/05/2023 11:24:56	10.20	0.00	
16/05/2023 11:24:58	10.20	0.00	
16/05/2023 11:25:00	10.20	0.00	
16/05/2023 11:25:02	10.18	0.00	
16/05/2023 11:25:04	10.14	0.00	
16/05/2023 11:25:06	10.10	0.00	
