TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 199ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
5/16/2023 2:55:22 PM	12.22	0.00	
5/16/2023 2:55:24 PM	12.20	0.00	
5/16/2023 2:55:26 PM	12.20	0.00	
5/16/2023 2:55:28 PM	12.20	0.00	
5/16/2023 2:55:30 PM	12.20	0.00	
5/16/2023 2:55:32 PM	12.20	0.00	
5/16/2023 2:55:34 PM	12.20	0.00	
5/16/2023 2:55:36 PM	12.20	0.00	
5/16/2023 2:55:38 PM	12.20	0.00	
5/16/2023 2:55:40 PM	12.20	0.00	
5/16/2023 2:55:42 PM	12.20	0.00	
5/16/2023 2:55:44 PM	12.20	0.00	
5/16/2023 2:55:46 PM	12.20	0.00	
5/16/2023 2:55:48 PM	12.20	0.00	
5/16/2023 2:55:50 PM	12.20	0.00	
5/16/2023 2:55:52 PM	12.20	0.00	
5/16/2023 2:55:54 PM	12.20	0.00	
5/16/2023 2:55:56 PM	12.20	0.00	
5/16/2023 2:55:58 PM	12.20	0.00	
5/16/2023 2:56:00 PM	12.20	0.00	
5/16/2023 2:56:02 PM	12.20	6.91	
5/16/2023 2:56:04 PM	12.16	17.37	
5/16/2023 2:56:06 PM	12.12	40.42	
5/16/2023 2:56:08 PM	12.10	62.81	
5/16/2023 2:56:10 PM	12.10	83.39	
5/16/2023 2:56:12 PM	12.10	101.50	
5/16/2023 2:56:14 PM	12.10	113.50	
5/16/2023 2:56:16 PM	12.10	116.40	
5/16/2023 2:56:18 PM	12.10	110.80	
5/16/2023 2:56:21 PM	12.10	97.97	
5/16/2023 2:56:23 PM	12.10	79.97	
5/16/2023 2:56:25 PM	12.08	61.86	
5/16/2023 2:56:27 PM	12.08	45.71	
5/16/2023 2:56:29 PM	12.06	30.62	
5/16/2023 2:56:31 PM	12.06	19.27	
5/16/2023 2:56:33 PM	12.06	9.64	
5/16/2023 2:56:34 PM	12.06	1.48	
5/16/2023 2:56:37 PM	12.04	0.00	
5/16/2023 2:56:39 PM	12.00	0.00	
5/16/2023 2:56:41 PM	12.00	0.00	
5/16/2023 2:56:43 PM	12.00	0.00	
5/16/2023 2:56:45 PM	12.00	0.00	
5/16/2023 2:56:47 PM	12.00	0.00	
5/16/2023 2:56:49 PM	12.00	0.00	
5/16/2023 2:56:51 PM	12.00	0.00	
5/16/2023 2:56:53 PM	12.00	0.00	
5/16/2023 2:56:55 PM	12.00	0.00	
5/16/2023 2:56:57 PM	12.00	0.00	
5/16/2023 2:56:59 PM	12.00	0.00	
5/16/2023 2:57:01 PM	12.00	0.00	
5/16/2023 2:57:03 PM	12.00	0.00	
5/16/2023 2:57:05 PM	12.00	0.00	
5/16/2023 2:57:07 PM	12.00	0.00	
5/16/2023 2:57:09 PM	12.00	0.00	
5/16/2023 2:57:11 PM	12.00	0.00	
5/16/2023 2:57:13 PM	12.00	0.00	
5/16/2023 2:57:15 PM	12.00	0.00	
5/16/2023 2:57:17 PM	12.00	0.00	
5/16/2023 2:57:19 PM	12.00	0.00	
5/16/2023 2:57:21 PM	12.00	0.00	
5/16/2023 2:57:23 PM	12.00	0.00	
5/16/2023 2:57:25 PM	12.00	0.00	
5/16/2023 2:57:27 PM	12.00	0.00	
