TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 79ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
5/16/2023 3:31:19 PM	14.96	0.00	
5/16/2023 3:31:21 PM	14.66	0.00	
5/16/2023 3:31:23 PM	14.40	0.00	
5/16/2023 3:31:25 PM	14.20	0.00	
5/16/2023 3:31:27 PM	14.00	0.00	
5/16/2023 3:31:29 PM	13.80	0.00	
5/16/2023 3:31:31 PM	13.62	0.00	
5/16/2023 3:31:33 PM	13.42	0.00	
5/16/2023 3:31:35 PM	13.24	0.00	
5/16/2023 3:31:37 PM	13.10	0.00	
5/16/2023 3:31:39 PM	12.96	0.00	
5/16/2023 3:31:41 PM	12.84	0.00	
5/16/2023 3:31:43 PM	12.72	0.00	
5/16/2023 3:31:45 PM	12.60	0.00	
5/16/2023 3:31:47 PM	12.46	0.00	
5/16/2023 3:31:49 PM	12.32	0.00	
5/16/2023 3:31:51 PM	12.20	0.00	
5/16/2023 3:31:53 PM	12.12	0.00	
5/16/2023 3:31:55 PM	12.04	0.00	
5/16/2023 3:31:57 PM	11.96	0.00	
5/16/2023 3:31:59 PM	11.90	0.00	
5/16/2023 3:32:01 PM	11.82	0.00	
5/16/2023 3:32:03 PM	11.74	0.00	
5/16/2023 3:32:05 PM	11.66	0.00	
5/16/2023 3:32:07 PM	11.62	0.00	
5/16/2023 3:32:09 PM	11.56	0.00	
5/16/2023 3:32:11 PM	11.52	0.00	
5/16/2023 3:32:13 PM	11.42	3.21	
5/16/2023 3:32:15 PM	11.34	23.01	
5/16/2023 3:32:17 PM	11.26	38.85	
5/16/2023 3:32:19 PM	11.22	48.05	
5/16/2023 3:32:21 PM	11.18	57.51	
5/16/2023 3:32:23 PM	11.14	71.36	
5/16/2023 3:32:25 PM	11.10	68.22	
5/16/2023 3:32:27 PM	11.06	64.71	
5/16/2023 3:32:29 PM	11.02	59.80	
5/16/2023 3:32:31 PM	11.00	52.05	
5/16/2023 3:32:33 PM	10.98	45.05	
5/16/2023 3:32:35 PM	10.94	44.70	
5/16/2023 3:32:37 PM	10.90	41.25	
5/16/2023 3:32:39 PM	10.90	36.86	
5/16/2023 3:32:41 PM	10.90	35.14	
5/16/2023 3:32:43 PM	10.86	29.17	
5/16/2023 3:32:45 PM	10.82	25.69	
5/16/2023 3:32:47 PM	10.80	24.53	
5/16/2023 3:32:49 PM	10.80	22.95	
5/16/2023 3:32:51 PM	10.76	16.18	
5/16/2023 3:32:53 PM	10.72	13.81	
5/16/2023 3:32:55 PM	10.70	13.66	
5/16/2023 3:32:57 PM	10.70	11.60	
5/16/2023 3:32:59 PM	10.70	12.60	
5/16/2023 3:33:01 PM	10.70	10.41	
5/16/2023 3:33:03 PM	10.62	9.15	
5/16/2023 3:33:05 PM	10.54	8.18	
5/16/2023 3:33:07 PM	10.50	6.74	
5/16/2023 3:33:09 PM	10.50	6.03	
5/16/2023 3:33:11 PM	10.50	4.51	
5/16/2023 3:33:13 PM	10.50	3.33	
5/16/2023 3:33:15 PM	10.50	0.94	
5/16/2023 3:33:17 PM	10.50	0.00	
5/16/2023 3:33:19 PM	10.48	0.00	
5/16/2023 3:33:21 PM	10.44	0.00	
5/16/2023 3:33:23 PM	10.40	0.00	
5/16/2023 3:33:25 PM	10.40	0.00	
5/16/2023 3:33:27 PM	10.40	0.00	
5/16/2023 3:33:29 PM	10.40	0.00	
5/16/2023 3:33:31 PM	10.40	0.00	
5/16/2023 3:33:33 PM	10.40	0.00	
