TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 2ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 11:46:02	16.28	35.40	
15/05/2023 11:46:04	16.30	44.49	
15/05/2023 11:46:06	16.30	43.21	
15/05/2023 11:46:08	16.34	21.92	
15/05/2023 11:46:10	16.38	27.78	
15/05/2023 11:46:12	16.42	24.49	
15/05/2023 11:46:14	16.46	3.62	
15/05/2023 11:46:16	16.50	0.00	
15/05/2023 11:46:18	16.54	0.00	
15/05/2023 11:46:20	16.58	0.00	
15/05/2023 11:46:22	16.60	0.00	
15/05/2023 11:46:24	16.60	0.00	
15/05/2023 11:46:26	16.60	0.00	
15/05/2023 11:46:28	16.64	0.00	
15/05/2023 11:46:30	16.68	0.00	
15/05/2023 11:46:32	16.70	4.77	
15/05/2023 11:46:34	16.70	3.52	
15/05/2023 11:46:36	16.72	24.43	
15/05/2023 11:46:38	16.76	38.03	
15/05/2023 11:46:40	16.80	32.41	
15/05/2023 11:46:42	16.80	57.04	
15/05/2023 11:46:44	16.80	43.71	
15/05/2023 11:46:46	16.80	29.15	
15/05/2023 11:46:48	16.84	30.28	
15/05/2023 11:46:50	16.86	30.69	
15/05/2023 11:46:52	16.90	51.91	
15/05/2023 11:46:54	16.90	5.64	
15/05/2023 11:46:56	16.90	3.76	
15/05/2023 11:46:58	16.90	0.00	
15/05/2023 11:47:00	16.90	0.00	
15/05/2023 11:47:02	16.94	0.00	
15/05/2023 11:47:04	16.98	0.00	
15/05/2023 11:47:06	17.00	0.00	
15/05/2023 11:47:08	17.00	0.00	
15/05/2023 11:47:10	17.00	13.84	
15/05/2023 11:47:12	17.00	10.17	
15/05/2023 11:47:14	17.02	11.07	
15/05/2023 11:47:16	17.06	10.01	
