TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 2ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
15/05/2023 11:46:12	16.40	42.51	
15/05/2023 11:46:14	16.44	16.76	
15/05/2023 11:46:16	16.48	0.00	
15/05/2023 11:46:18	16.52	0.00	
15/05/2023 11:46:20	16.56	0.00	
15/05/2023 11:46:21	16.60	0.00	
15/05/2023 11:46:24	16.60	0.00	
15/05/2023 11:46:26	16.60	0.00	
15/05/2023 11:46:28	16.62	0.00	
15/05/2023 11:46:30	16.66	0.00	
15/05/2023 11:46:32	16.70	0.78	
15/05/2023 11:46:34	16.70	6.28	
15/05/2023 11:46:36	16.70	3.55	
15/05/2023 11:46:38	16.74	21.62	
15/05/2023 11:46:40	16.78	32.41	
15/05/2023 11:46:42	16.80	57.04	
15/05/2023 11:46:44	16.80	43.71	
15/05/2023 11:46:46	16.80	29.15	
15/05/2023 11:46:48	16.82	30.28	
15/05/2023 11:46:50	16.86	30.69	
15/05/2023 11:46:52	16.90	51.91	
15/05/2023 11:46:54	16.90	5.64	
15/05/2023 11:46:56	16.90	3.76	
15/05/2023 11:46:58	16.90	0.00	
15/05/2023 11:47:00	16.90	0.00	
15/05/2023 11:47:02	16.94	0.00	
15/05/2023 11:47:04	16.98	0.00	
15/05/2023 11:47:06	17.00	0.00	
15/05/2023 11:47:08	17.00	0.00	
15/05/2023 11:47:10	17.00	13.84	
15/05/2023 11:47:12	17.00	10.17	
15/05/2023 11:47:14	17.02	11.07	
