TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 28ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
16/05/2023 11:20:44	14.60	0.00	
16/05/2023 11:20:46	14.40	0.00	
16/05/2023 11:20:48	14.20	0.00	
16/05/2023 11:20:50	14.02	0.00	
16/05/2023 11:20:52	13.86	0.00	
16/05/2023 11:20:54	13.72	0.00	
16/05/2023 11:20:56	13.56	0.00	
16/05/2023 11:20:58	13.44	0.00	
16/05/2023 11:21:00	13.32	0.00	
16/05/2023 11:21:02	13.22	0.00	
16/05/2023 11:21:04	13.12	0.00	
16/05/2023 11:21:06	13.02	0.00	
16/05/2023 11:21:08	12.94	0.81	
16/05/2023 11:21:10	12.86	4.91	
16/05/2023 11:21:12	12.76	7.99	
16/05/2023 11:21:14	12.66	10.26	
16/05/2023 11:21:16	12.56	12.44	
16/05/2023 11:21:18	12.52	12.58	
16/05/2023 11:21:20	12.46	10.69	
16/05/2023 11:21:22	12.42	6.53	
16/05/2023 11:21:24	12.36	2.01	
16/05/2023 11:21:26	12.32	0.00	
16/05/2023 11:21:28	12.28	0.00	
16/05/2023 11:21:30	12.24	0.00	
16/05/2023 11:21:32	12.20	0.00	
16/05/2023 11:21:34	12.20	0.00	
16/05/2023 11:21:36	12.18	0.00	
16/05/2023 11:21:38	12.14	0.00	
