TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 208ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
5/16/2023 2:49:19 PM	20.00	0.00	
5/16/2023 2:49:21 PM	20.00	0.00	
5/16/2023 2:49:23 PM	19.98	0.00	
5/16/2023 2:49:25 PM	19.90	0.00	
5/16/2023 2:49:27 PM	19.66	0.00	
5/16/2023 2:49:29 PM	19.22	0.00	
5/16/2023 2:49:31 PM	18.74	0.00	
5/16/2023 2:49:33 PM	18.26	0.00	
5/16/2023 2:49:35 PM	17.82	0.00	
5/16/2023 2:49:37 PM	17.44	0.00	
5/16/2023 2:49:39 PM	17.12	0.00	
5/16/2023 2:49:41 PM	16.82	0.00	
5/16/2023 2:49:43 PM	16.54	0.00	
5/16/2023 2:49:45 PM	16.28	0.00	
5/16/2023 2:49:47 PM	16.04	0.00	
5/16/2023 2:49:49 PM	15.84	0.00	
5/16/2023 2:49:51 PM	15.68	0.00	
5/16/2023 2:49:53 PM	15.54	0.00	
5/16/2023 2:49:55 PM	15.42	0.00	
5/16/2023 2:49:57 PM	15.32	0.00	
5/16/2023 2:49:59 PM	15.20	0.00	
5/16/2023 2:50:01 PM	15.06	0.00	
5/16/2023 2:50:03 PM	14.90	0.00	
5/16/2023 2:50:05 PM	14.80	0.00	
5/16/2023 2:50:07 PM	14.72	0.00	
5/16/2023 2:50:09 PM	14.64	0.00	
5/16/2023 2:50:11 PM	14.58	0.00	
5/16/2023 2:50:13 PM	14.54	0.00	
5/16/2023 2:50:15 PM	14.46	0.00	
5/16/2023 2:50:17 PM	14.40	0.00	
5/16/2023 2:50:19 PM	14.34	0.00	
5/16/2023 2:50:21 PM	14.26	0.00	
5/16/2023 2:50:23 PM	14.20	0.00	
5/16/2023 2:50:25 PM	14.16	0.00	
5/16/2023 2:50:27 PM	14.10	0.00	
5/16/2023 2:50:29 PM	14.04	12.71	
5/16/2023 2:50:31 PM	13.96	30.43	
5/16/2023 2:50:33 PM	13.92	47.40	
5/16/2023 2:50:35 PM	13.86	61.16	
5/16/2023 2:50:37 PM	13.82	71.35	
5/16/2023 2:50:40 PM	13.76	79.88	
5/16/2023 2:50:42 PM	13.72	87.13	
5/16/2023 2:50:43 PM	13.66	87.57	
5/16/2023 2:50:46 PM	13.62	80.10	
5/16/2023 2:50:48 PM	13.60	68.74	
5/16/2023 2:50:50 PM	13.56	56.58	
5/16/2023 2:50:52 PM	13.52	43.98	
5/16/2023 2:50:54 PM	13.44	33.41	
5/16/2023 2:50:56 PM	13.36	23.20	
5/16/2023 2:50:58 PM	13.28	13.22	
5/16/2023 2:51:00 PM	13.22	5.24	
5/16/2023 2:51:02 PM	13.18	0.17	
5/16/2023 2:51:04 PM	13.14	0.00	
5/16/2023 2:51:06 PM	13.08	0.00	
5/16/2023 2:51:08 PM	13.04	0.00	
5/16/2023 2:51:10 PM	13.00	0.00	
5/16/2023 2:51:12 PM	12.98	0.00	
5/16/2023 2:51:14 PM	12.94	0.00	
5/16/2023 2:51:16 PM	12.90	0.00	
5/16/2023 2:51:18 PM	12.88	0.00	
5/16/2023 2:51:20 PM	12.84	0.00	
5/16/2023 2:51:22 PM	12.80	0.00	
5/16/2023 2:51:24 PM	12.80	0.00	
