TAB delimited data file. Format the Date & Time column as dd/mm/yyyy hh:mm:ss to see the seconds values - 70ml

Date & Time	Temp (C)	Rhodamine (ug/L)	
5/16/2023 4:07:59 PM	13.06	0.00	
5/16/2023 4:08:00 PM	12.92	0.00	
5/16/2023 4:08:02 PM	12.72	0.00	
5/16/2023 4:08:05 PM	12.56	0.00	
5/16/2023 4:08:07 PM	12.40	0.00	
5/16/2023 4:08:09 PM	12.28	0.00	
5/16/2023 4:08:11 PM	12.18	0.00	
5/16/2023 4:08:13 PM	12.08	0.00	
5/16/2023 4:08:15 PM	12.00	0.00	
5/16/2023 4:08:17 PM	11.94	0.00	
5/16/2023 4:08:19 PM	11.86	0.00	
5/16/2023 4:08:21 PM	11.80	0.00	
5/16/2023 4:08:23 PM	11.74	0.00	
5/16/2023 4:08:25 PM	11.68	0.00	
5/16/2023 4:08:27 PM	11.64	0.00	
5/16/2023 4:08:29 PM	11.58	0.00	
5/16/2023 4:08:31 PM	11.54	0.00	
5/16/2023 4:08:33 PM	11.48	0.00	
5/16/2023 4:08:35 PM	11.44	0.00	
5/16/2023 4:08:37 PM	11.40	0.00	
5/16/2023 4:08:39 PM	11.40	0.00	
5/16/2023 4:08:41 PM	11.40	0.00	
5/16/2023 4:08:43 PM	11.38	0.00	
5/16/2023 4:08:45 PM	11.34	0.00	
5/16/2023 4:08:47 PM	11.30	0.00	
5/16/2023 4:08:49 PM	11.30	0.00	
5/16/2023 4:08:51 PM	11.30	0.00	
5/16/2023 4:08:53 PM	11.26	0.00	
5/16/2023 4:08:55 PM	11.20	0.00	
5/16/2023 4:08:57 PM	11.12	0.00	
5/16/2023 4:08:59 PM	11.10	0.00	
5/16/2023 4:09:01 PM	11.06	0.00	
5/16/2023 4:09:03 PM	11.02	0.00	
5/16/2023 4:09:05 PM	11.00	0.00	
5/16/2023 4:09:07 PM	11.00	0.00	
5/16/2023 4:09:09 PM	11.00	0.00	
5/16/2023 4:09:11 PM	10.96	0.00	
5/16/2023 4:09:13 PM	10.92	0.00	
5/16/2023 4:09:15 PM	10.90	0.00	
5/16/2023 4:09:17 PM	10.90	0.00	
5/16/2023 4:09:19 PM	10.90	0.00	
5/16/2023 4:09:21 PM	10.90	0.00	
5/16/2023 4:09:23 PM	10.86	0.00	
5/16/2023 4:09:25 PM	10.82	0.00	
5/16/2023 4:09:27 PM	10.80	0.00	
5/16/2023 4:09:29 PM	10.80	0.00	
5/16/2023 4:09:31 PM	10.80	0.00	
5/16/2023 4:09:33 PM	10.80	0.00	
5/16/2023 4:09:35 PM	10.80	0.00	
5/16/2023 4:09:37 PM	10.78	0.00	
5/16/2023 4:09:39 PM	10.74	0.00	
5/16/2023 4:09:41 PM	10.70	0.00	
5/16/2023 4:09:43 PM	10.70	0.00	
5/16/2023 4:09:45 PM	10.70	0.00	
5/16/2023 4:09:47 PM	10.70	0.00	
5/16/2023 4:09:49 PM	10.70	0.00	
5/16/2023 4:09:51 PM	10.70	0.00	
5/16/2023 4:09:53 PM	10.70	0.00	
5/16/2023 4:09:55 PM	10.70	2.80	
5/16/2023 4:09:57 PM	10.70	9.90	
5/16/2023 4:09:59 PM	10.70	16.55	
5/16/2023 4:10:01 PM	10.70	23.15	
5/16/2023 4:10:03 PM	10.70	28.72	
5/16/2023 4:10:05 PM	10.70	32.96	
5/16/2023 4:10:07 PM	10.70	35.81	
5/16/2023 4:10:09 PM	10.68	36.33	
5/16/2023 4:10:11 PM	10.64	35.48	
5/16/2023 4:10:13 PM	10.60	34.75	
5/16/2023 4:10:15 PM	10.60	32.65	
5/16/2023 4:10:17 PM	10.60	30.56	
5/16/2023 4:10:19 PM	10.60	27.44	
5/16/2023 4:10:21 PM	10.60	24.90	
5/16/2023 4:10:23 PM	10.60	21.84	
5/16/2023 4:10:25 PM	10.60	18.93	
5/16/2023 4:10:27 PM	10.60	15.49	
5/16/2023 4:10:29 PM	10.60	12.50	
5/16/2023 4:10:31 PM	10.60	10.38	
5/16/2023 4:10:33 PM	10.60	7.85	
5/16/2023 4:10:35 PM	10.60	5.65	
5/16/2023 4:10:37 PM	10.60	3.84	
5/16/2023 4:10:39 PM	10.60	1.73	
5/16/2023 4:10:41 PM	10.60	0.00	
5/16/2023 4:10:43 PM	10.60	0.00	
5/16/2023 4:10:45 PM	10.60	0.00	
5/16/2023 4:10:47 PM	10.60	0.00	
5/16/2023 4:10:49 PM	10.60	0.00	
5/16/2023 4:10:51 PM	10.60	0.00	
5/16/2023 4:10:53 PM	10.60	0.00	
5/16/2023 4:10:55 PM	10.60	0.00	
5/16/2023 4:10:57 PM	10.60	0.00	
