fid,cat,cat_,value,label,fid_2,name,burnin,section_number,n,distance,feature_x,feature_y,nearest_x,nearest_y,TWI__number,TWI__minimum,TWI__maximum,TWI__range,TWI__average,TWI__stddev,TWI__variance,TWI__coeff_var,TWI__sum,TWI__first_quartile,TWI__median,TWI__third_quartile,TWI__percentile_90,area
"9","1","2","2",,"25",tributary_11,"1","24","1",424.787764390558,65841.5676,106036.9412,65958.2657738805,105628.497591911,19361,-3.8630747795105,19.9580554962158,23.8211302757263,9.91075024747459,3.79609244042802,14.4103178162747,38.302775729772,191882.035541356,6.45111,11.3477,13.0297,14.0333,
"13","2","24","23",,"23",tributary_9,"1","19","1",512.506484303348,66646.5676,105956.9412,66644.0670568572,105444.440815867,32165,-4.92743730545044,21.0154628753662,25.9429001808167,9.02892133161048,3.70224396980678,13.7066104119706,41.0042776299881,290415.254631251,5.97807,7.76816,12.5777,13.5222,
"14","3","43","177",,"26",tributary_12,"1","27","1",0,65458.8496994314,105566.9412,65458.8496994314,105566.9412,7523,-1.41994535923004,18.7246284484863,20.1445738077164,9.65920684862152,3.91422822022327,15.3211825599922,40.5232881080901,72666.2131221797,6.11449,9.76087,13.3015,13.9843,
"16","4","55","30",,"12",main_river,"1","26","1",474.895005376177,64931.5676,105801.9412,64764.8208313385,105357.283150177,42439,-4.98470449447632,20.3843955993652,25.3691000938416,9.77185991682824,3.80029813713258,14.4422659310933,38.8902232479616,414707.963010274,6.32813,10.9805,13.0998,13.8376,
"17","5","217","475",,"21",tributary_7,"1","15","1",499.064049491567,67286.5676,105151.9412,67408.8940185462,104668.10117187,21737,-2.03654479980469,19.8887348175049,21.9252796173096,9.68080384030388,3.76556262890516,14.1794619122071,38.8972103042525,210431.633076685,6.3436,10.637,12.8681,13.6843,
"20","7","143","165",,"11",main_river,"1","25","1",0,65556.9849412356,105221.9412,65556.9849412356,105221.9412,3202,0.252291828393936,20.602201461792,20.3499096333981,9.43734919057832,3.62072850098204,13.1096748778237,38.365948190163,30218.3921082318,6.40887,8.09754,12.9998,13.577,
"21","8","422","434",,"24",tributary_10,"1","23","1",0,65959.0670570045,105084.440815658,65959.0670570045,105084.440815658,1325,-0.503398835659027,19.9084548950195,20.4118537306786,9.07919715328037,3.74566457777733,14.0300031292158,41.2554603071264,12029.9362280965,5.68291,8.50851,12.6973,13.2628,
"22","6","164","157",,"14",main_river,"1","22","1",0,65799.14909972,105241.9412,65799.14909972,105241.9412,4252,-3.91372299194336,20.7917041778564,24.7054271697998,9.52645153833706,4.02797211151702,16.2245593311589,42.2819776630086,40506.4719410092,6.00209,8.24591,13.1192,13.8666,
"24","9","426","156",,"13",main_river,"1","20","1",0,66041.5676,104987.009447439,66041.5676,104987.009447439,538,1.76130795478821,20.8634033203125,19.1020953655243,9.32958930664346,4.08070691489797,16.6521689252961,43.73940567772,5019.31904697418,5.93022,7.60101,12.4392,13.0417,
"25","10","498","154",,"9",main_river,"1","17","1",0,66371.5676,104776.923861465,66371.5676,104776.923861465,5274,-0.921087324619293,21.0941867828369,22.0152741074562,9.80051595631211,3.81199199192371,14.5312829464905,38.8958296575045,51687.9211535901,6.32429,9.27746,13.1319,14.2758,
